epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,1555.73,1.27513,1.01411,1.69996,0.85737,0.95,0.97714,0.60706,1.39817,1.13816,2.18335,0.00135848,0.00135848,0.00135848
164,1565.18,0.97712,0.8637,1.52026,1,0.94524,0.99262,0.65389,1.30941,1.09798,2.11656,0.00135452,0.00135452,0.00135452
165,1574.36,1.54351,1.26616,2.0221,1,0.94524,0.99262,0.65389,1.30941,1.09798,2.11656,0.00135056,0.00135056,0.00135056
166,1583.58,1.2846,1.05085,1.73833,0.88483,0.76894,0.91266,0.57942,1.35436,1.54826,2.16311,0.0013466,0.0013466,0.0013466
167,1592.8,1.08014,0.94798,1.5462,0.88483,0.76894,0.91266,0.57942,1.35436,1.54826,2.16311,0.00134264,0.00134264,0.00134264
168,1602.11,1.1867,0.99083,1.53234,0.9827,0.8,0.92276,0.60478,1.30346,1.28484,2.08531,0.00133868,0.00133868,0.00133868
169,1611.24,1.27343,0.99003,1.97176,0.9827,0.8,0.92276,0.60478,1.30346,1.28484,2.08531,0.00133472,0.00133472,0.00133472
170,1620.55,1.25489,0.98906,1.71124,0.94444,0.84997,0.95397,0.62809,1.30518,1.06459,2.05557,0.00133076,0.00133076,0.00133076
171,1629.84,1.38513,0.99107,1.89122,0.94444,0.84997,0.95397,0.62809,1.30518,1.06459,2.05557,0.0013268,0.0013268,0.0013268
172,1639.13,1.26665,0.98806,1.63172,0.8967,0.86865,0.95026,0.65011,1.23348,1.0983,2.09054,0.00132284,0.00132284,0.00132284
173,1648.27,1.41052,1.05094,1.77568,0.8967,0.86865,0.95026,0.65011,1.23348,1.0983,2.09054,0.00131888,0.00131888,0.00131888
174,1657.61,1.1613,1.07658,1.88449,0.8527,0.86889,0.93731,0.64146,1.2603,1.23879,2.18048,0.00131492,0.00131492,0.00131492
175,1666.9,1.38573,1.08959,2.00125,0.8527,0.86889,0.93731,0.64146,1.2603,1.23879,2.18048,0.00131096,0.00131096,0.00131096
176,1676.27,1.20537,0.92557,1.61914,0.9347,0.71645,0.86382,0.59646,1.20736,1.39803,2.13638,0.001307,0.001307,0.001307
177,1685.52,1.51807,1.27753,2.08431,0.9347,0.71645,0.86382,0.59646,1.20736,1.39803,2.13638,0.00130304,0.00130304,0.00130304
178,1694.77,1.28796,1.03865,1.67259,0.91429,0.6,0.82786,0.57719,1.21417,1.50339,2.14096,0.00129908,0.00129908,0.00129908
